original_air_year,us_viewers_in_millions,season,imdb_rating
2000,10.4,11,6.9
2001,18.5,12,7.5
2000,9.6,11,6.6
2000,8.3,11,7.9
2000,16.8,12,7.3
2000,9.8,11,7.3
2000,8.3,11,7.4
1996,11.8,7,8.6
2001,16.1,12,6.5
2001,13.1,12,7.3
2001,13.4,12,7.0
2002,12.4,13,7.7
2002,11.8,13,6.9
2003,12.7,15,7.0
2001,14.9,13,7.1
2002,12.5,13,7.7
2002,17.4,14,7.1
2002,11.2,13,7.1
2003,14.4,14,6.9
2001,13.4,13,7.2
2002,12.5,14,7.3
2001,13.2,13,7.1
2002,15.1,14,6.8
2002,11.7,13,7.3
2003,15.4,14,6.9
2002,11.8,13,6.9
2002,14.2,13,7.3
2002,11.2,13,7.2
2003,11.59,14,6.8
2003,15.0,14,7.1
2003,21.3,14,6.6
2003,11.71,14,7.0
2003,12.1,14,6.6
2003,16.22,15,7.4
1997,9.1,8,8.6
2003,10.5,15,6.6
2004,12.0,15,6.7
2004,10.6,15,7.3
2004,11.64,16,7.0
2004,8.7,15,6.2
2005,8.72,16,6.8
2005,10.3,17,6.9
2004,9.4,15,7.3
2004,10.7,15,6.9
2005,23.07,16,6.4
2005,9.79,17,6.9
2004,10.5,15,6.9
2005,10.19,17,7.0
2005,11.63,17,7.3
2006,10.1,17,6.7
2004,10.81,16,6.6
2004,9.2,15,6.7
2005,8.31,16,7.3
2005,10.39,17,7.0
2004,9.5,15,7.3
2006,9.04,17,7.0
2005,10.39,16,6.9
2005,8.17,16,7.1
2004,11.29,16,7.4
2005,8.11,16,7.3
2005,8.01,16,6.8
1998,10.3,9,7.6
2006,8.7,17,7.2
2006,8.3,17,7.1
2007,7.57,18,6.3
2007,11.7,19,7.1
2007,8.98,18,6.3
2008,6.9,19,6.1
2006,8.23,17,6.6
2007,13.9,18,6.6
2008,8.09,20,7.0
2006,10.43,18,7.1
2008,7.6,19,6.3
2008,6.19,20,6.6
2006,9.31,18,6.8
2006,8.29,18,7.2
2007,10.5,19,7.1
2008,6.11,19,6.4
2007,9.8,18,7.3
2008,8.16,20,6.6
2007,8.8,18,7.3
2007,8.09,18,7.0
2007,6.4,18,7.3
2007,6.48,18,7.0
2008,7.3,19,7.3
2008,7.81,19,6.6
2008,7.8,20,7.1
2008,9.3,20,7.2
2008,6.18,19,7.0
1998,7.35,10,7.5
2009,6.82,20,7.0
2009,5.99,20,7.0
2010,7.75,22,6.3
2009,6.75,20,7.1
2010,6.26,21,7.2
2009,6.5,20,7.2
2010,14.62,21,6.7
2009,9.32,21,6.6
2009,6.5,20,7.2
2010,5.93,21,6.9
2009,7.5,21,6.3
2010,6.06,21,7.2
2011,6.2,22,6.7
2011,5.61,22,6.9
2010,6.08,21,6.6
2010,6.58,22,6.5
2009,7.11,21,7.2
2010,5.87,21,6.8
2011,6.14,22,6.5
2009,9.04,21,6.7
2011,5.48,22,7.2
2010,5.69,21,7.0
2010,9.38,22,6.4
2011,6.1,22,6.6
2011,12.6,22,6.3
2010,6.72,22,6.8
2011,6.47,22,6.9
1999,7.7,10,7.3
2011,6.19,23,7.0
2011,7.97,23,6.7
2012,11.48,23,7.0
2014,4.83,25,7.1
2012,4.07,23,6.7
2012,6.86,24,6.7
2013,8.97,24,6.9
2013,5.43,25,6.5
2013,6.85,25,7.0
2012,5.0,23,7.4
2011,5.77,23,7.8
2012,4.26,23,6.5
2014,12.04,25,7.6
2012,5.09,23,6.9
2013,4.85,24,7.0
2012,5.25,23,7.1
2013,6.42,25,7.1
2013,4.54,24,6.5
2013,5.23,24,6.6
2012,8.08,24,6.4
2012,7.46,24,6.5
2012,6.57,24,7.3
2012,7.44,24,7.2
2013,4.57,24,7.0
2013,4.16,24,6.3
2013,4.08,25,7.1
2013,4.52,24,7.0
1999,8.6,10,7.3
2014,4.02,25,6.6
2014,3.45,25,5.8
2014,3.45,26,6.5
2015,2.78,26,6.3
2015,6.75,27,6.8
2016,4.41,27,6.6
2014,3.66,25,6.7
2015,3.28,27,5.9
2015,3.12,26,6.2
2015,3.59,26,6.7
2015,5.64,27,6.3
2015,4.28,26,7.3
2016,2.89,27,6.3
2015,3.33,26,6.9
2015,3.79,26,6.9
2014,8.53,26,5.8
2014,7.33,26,6.5
2016,3.95,27,6.7
2014,6.52,26,6.8
2014,7.76,26,7.3
2015,2.67,26,6.7
2016,2.32,27,6.5
2015,2.82,26,6.9
2016,3.09,27,6.3
2015,5.53,27,7.1
2015,3.31,27,7.2
1991,20.6,2,8.0
1991,23.9,3,8.8
1990,27.1,1,8.1
1992,17.2,3,8.2
1992,19.3,4,9.0
1993,20.0,5,9.0
1993,18.7,5,7.7
1994,18.2,5,8.8
1994,19.7,5,8.4
1994,15.5,5,8.2
1994,22.2,6,9.0
1995,15.0,6,9.1
1996,13.9,8,9.2
1997,14.9,8,8.5
1997,11.8,8,9.2
1997,10.9,9,8.1
1997,11.4,9,7.7
1998,8.3,10,7.6
2000,15.9,12,8.0
2001,18.5,12,8.0
2001,14.4,12,8.6
2002,8.2,13,8.0
2002,16.7,14,7.6
2011,6.43,23,8.2
2014,6.7,26,7.9
2015,3.69,27,7.5
2016,2.52,27,6.7
1990,27.5,1,7.5
1999,7.76,11,7.3
2000,16.2,12,7.4
2000,15.0,12,7.2
2002,14.5,13,6.5
2003,12.6,14,7.1
2004,8.9,15,7.1
2005,8.49,16,7.0
2005,11.92,16,7.4
2006,9.72,17,7.4
2006,10.09,17,6.5
2006,7.04,17,6.7
2007,7.7,19,7.2
2008,8.52,20,7.1
2009,5.86,20,7.2
2009,8.59,21,7.3
2010,5.65,21,6.7
2010,5.94,21,6.9
2010,8.19,22,7.1
2011,5.61,23,6.8
2013,4.89,24,7.1
2013,4.01,24,7.2
2014,3.91,25,6.9
2015,3.93,26,6.6
2016,2.55,27,6.4
2016,2.54,27,6.9
2016,3.36,28,6.6
2001,18.1,12,7.2
2002,12.3,13,7.0
2002,10.8,13,7.1
2003,22.1,14,7.3
2003,14.4,14,7.1
2003,12.2,15,7.1
2005,9.69,16,7.2
2005,11.4,17,6.9
2006,8.2,17,7.2
2006,8.94,18,6.7
2007,9.7,19,6.7
2007,8.8,19,6.9
2007,10.15,19,8.2
2009,5.75,20,5.9
2009,6.52,20,7.0
2009,6.15,20,6.3
2009,6.58,20,6.8
2011,5.25,22,7.0
2012,5.77,23,7.0
2012,4.97,23,7.3
2012,5.65,24,6.9
2014,2.69,25,6.4
2014,3.64,25,7.0
